A,E,H,F,B,G,C
M,1105.0,315.0,0.4865,0.6,247.0,0.47
M,0.8395,305.0,0.3325,0.56,157.0,0.46
M,1055.0,365.0,0.3815,585.0,221.0,455.0
M,889.0,0.25,0.36,0.56,204.0,435.0
I,0.8735,275.0,0.3005,0.56,209.0,445.0
I,1.1095,0.34,439.0,0.68,245.0,0.53
F,0.5185,135.0,221.0,455.0,0.1265,0.35
F,0.6725,0.21,249.0,0.49,181.0,0.38
M,146.0,45.0,61.0,0.31,0.0365,0.22
F,0.08,25.0,31.0,275.0,0.0215,195.0
M,0.1,0.03,0.0385,0.27,0.0195,195.0
M,0.2795,75.0,0.1115,0.4,0.0575,0.29
M,0.0915,0.03,33.0,0.28,0.0215,0.2
M,147.0,45.0,0.06,325.0,34.0,0.23
F,203.0,55.0,78.0,345.0,59.0,0.25
M,0.0385,0.01,0.0155,0.21,0.0085,0.15
F,0.1885,55.0,0.0845,0.36,0.0385,0.27
I,218.0,0.07,0.0935,365.0,0.0445,0.26
M,35.0,0.01,0.0145,0.2,8.0,0.14
M,0.0545,15.0,0.0265,235.0,0.0095,0.16
M,24.0,5.0,0.0095,175.0,6.0,125.0
M,0.0155,5.0,0.0065,155.0,3.0,0.11
F,733.0,235.0,282.0,0.57,159.0,445.0
F,0.9715,0.26,0.3965,0.57,255.0,0.45
M,0.24,85.0,0.0885,385.0,59.0,0.3
I,752.0,205.0,299.0,0.53,156.0,0.42
F,458.0,0.13,192.0,0.46,0.1055,355.0
I,0.4705,155.0,0.1845,0.47,0.1055,0.37
F,0.38,0.11,0.1695,435.0,86.0,335.0
I,0.4985,145.0,0.2095,0.47,0.1225,0.37
I,454.0,155.0,0.1895,465.0,0.08,0.38
I,0.5775,179.0,0.2,0.52,145.0,405.0
M,0.1165,0.04,43.0,0.29,0.0255,0.23
M,94.0,0.0325,0.0335,275.0,0.02,205.0
F,0.2705,0.0885,93.0,375.0,66.0,0.29
F,604.0,179.0,242.0,0.5,0.1415,375.0
F,415.0,131.0,0.1585,0.44,0.0925,355.0
M,0.2885,0.1135,0.1,0.42,57.0,325.0
M,0.3615,117.0,0.1565,445.0,0.0695,0.35
F,257.0,85.0,99.0,0.38,51.0,0.29
M,0.1555,49.0,0.0585,0.32,38.0,245.0
M,0.08,27.0,0.0315,255.0,18.0,195.0
M,0.0425,0.0155,17.0,205.0,0.0055,155.0
F,795.0,0.23,0.3605,565.0,0.1555,0.45
I,875.0,255.0,0.3695,555.0,0.2005,425.0
I,1.1625,0.33,495.0,0.65,203.0,515.0
I,0.9885,345.0,0.4145,615.0,195.0,0.49
I,0.8,0.25,335.0,0.56,0.1735,0.44
I,514.0,155.0,0.2075,0.48,131.0,0.37
I,591.0,0.12,287.0,485.0,141.0,0.39
I,0.6265,0.16,0.2605,0.5,0.1665,385.0
I,795.0,255.0,0.3075,525.0,205.0,405.0
F,1.1905,0.37,0.4585,0.66,298.0,0.5
F,1326.0,0.44,519.0,0.66,0.2625,0.53
I,0.66,0.22,267.0,0.52,0.1055,0.4
F,364.0,0.1175,148.0,0.44,0.0805,0.34
I,659.0,0.17,0.2705,515.0,179.0,0.4
F,452.0,155.0,0.1715,475.0,92.0,0.35
F,0.7335,0.2185,0.2795,545.0,163.0,415.0
F,0.5465,185.0,0.2005,0.47,126.0,355.0
M,179.0,0.06,0.0705,0.35,0.0385,255.0
I,581.0,168.0,245.0,485.0,132.0,355.0
I,406.0,96.0,0.1685,435.0,0.1055,0.33
M,0.1085,0.0345,41.0,0.28,0.0265,0.21
F,387.0,0.0985,165.0,0.41,0.1005,0.32
I,474.0,0.1275,0.21,0.45,109.0,0.35
I,443.0,0.1175,0.1975,0.45,0.0875,345.0
F,1066.0,415.0,382.0,0.59,0.2275,455.0
F,0.9535,305.0,0.3785,0.57,201.0,0.44
I,0.9665,345.0,0.4145,0.61,0.2,475.0
F,1133.0,0.35,0.5275,0.61,0.2355,475.0
I,0.9175,0.26,0.4005,0.56,0.1975,425.0
F,982.0,0.27,0.4055,585.0,0.2495,435.0
I,0.8865,255.0,383.0,0.58,209.0,445.0
F,1.3675,515.0,0.5015,0.63,0.3035,0.48
F,1233.0,365.0,0.5565,625.0,247.0,0.49
I,806.0,245.0,376.0,0.55,171.0,425.0
F,1.4635,435.0,0.6615,645.0,0.3435,525.0
I,0.4935,115.0,216.0,0.46,133.0,355.0
F,363.0,0.11,0.1735,0.41,65.0,305.0
I,0.6655,0.2,284.0,495.0,162.0,0.39
I,0.6805,195.0,0.28,0.52,174.0,425.0
F,0.8285,0.25,0.3095,0.55,0.1905,0.41
M,0.4625,0.15,164.0,0.45,76.0,335.0
F,0.3095,95.0,138.0,405.0,58.0,0.31
I,745.0,235.0,0.2865,0.51,0.1675,0.4
F,0.25,75.0,111.0,0.37,57.0,0.29
I,874.0,205.0,0.3585,525.0,207.0,0.41
F,1514.0,0.42,526.0,0.66,0.2975,0.52
M,0.6995,0.24,0.2575,535.0,153.0,0.42
I,0.8525,0.3,0.3015,575.0,0.1825,455.0
F,0.7135,225.0,0.2565,0.55,186.0,0.43
I,939.0,0.32,0.3385,605.0,201.0,0.47
I,1054.0,0.36,369.0,605.0,0.2255,495.0
F,981.0,335.0,305.0,0.56,0.2245,445.0
I,926.0,0.25,398.0,535.0,0.1965,0.42
F,286.0,0.0835,0.1225,385.0,0.0635,315.0
F,265.0,0.0865,0.1075,0.39,0.06,0.3
I,0.4885,166.0,0.2005,0.47,108.0,345.0
I,0.5555,0.2235,0.2,515.0,0.1135,0.39
I,425.0,154.0,0.16,425.0,0.0795,345.0
M,195.0,59.0,78.0,345.0,0.0455,0.27
I,458.0,136.0,181.0,485.0,113.0,0.37
M,228.0,81.0,0.0675,0.37,0.0675,285.0
M,0.1775,68.0,0.0575,0.35,42.0,265.0
F,0.4085,0.1515,0.15,0.44,0.0825,345.0
M,32.0,12.0,0.01,195.0,8.0,145.0
M,155.0,0.06,0.0475,325.0,0.0355,0.24
I,0.4775,169.0,185.0,495.0,0.0705,0.37
I,525.0,0.1655,0.2085,0.45,0.1,0.35
M,0.3865,148.0,128.0,415.0,0.07,345.0
F,433.0,152.0,0.1525,0.47,95.0,355.0
M,0.17,49.0,0.0655,0.32,47.0,0.24
M,0.1295,44.0,0.0455,0.31,0.0335,225.0
M,0.0515,0.0195,18.0,235.0,0.0105,0.17
M,169.0,54.0,0.06,345.0,0.0425,255.0
I,673.0,195.0,0.2175,485.0,0.13,0.38
F,0.6785,195.0,0.2945,0.5,138.0,385.0
F,498.0,0.17,0.1795,0.5,0.1095,385.0
I,498.0,0.14,214.0,465.0,116.0,0.36
F,658.0,225.0,0.2655,525.0,0.1125,405.0
F,322.0,125.0,0.1205,425.0,61.0,335.0
F,0.2815,0.09,0.1255,0.38,0.0525,305.0
I,944.0,265.0,0.3845,0.53,185.0,415.0
M,0.1835,65.0,77.0,0.34,46.0,265.0
I,0.49,0.1335,223.0,475.0,0.1235,365.0
F,391.0,0.1405,0.1555,0.43,95.0,0.34
M,467.0,158.0,0.1895,0.46,0.0945,365.0
I,0.5225,165.0,198.0,0.47,0.1065,0.36
M,0.2105,75.0,66.0,0.36,0.0525,295.0
M,168.0,63.0,0.05,355.0,41.0,265.0
M,258.0,0.08,0.1055,0.38,54.0,235.0
M,0.1905,55.0,81.0,355.0,0.0485,0.26
I,487.0,0.16,0.1965,0.44,108.0,345.0
F,0.5735,195.0,219.0,0.51,0.1365,0.4
M,173.0,0.05,0.0795,325.0,38.0,0.24
I,1.1785,0.39,0.4675,0.62,0.2655,485.0
F,0.9,315.0,358.0,0.59,156.0,0.45
M,0.1875,0.06,0.0735,0.33,45.0,255.0
M,0.3715,105.0,0.1605,0.45,0.0795,0.34
I,347.0,105.0,0.12,445.0,84.0,0.33
M,0.1145,35.0,45.0,0.33,0.0265,215.0
M,777.0,0.17,216.0,0.48,0.13,375.0
I,0.4885,155.0,193.0,0.46,105.0,0.35
F,447.0,0.14,0.1695,475.0,81.0,0.36
M,79.0,25.0,34.0,255.0,14.0,0.18
I,0.1665,0.06,0.0595,335.0,0.04,245.0
I,466.0,145.0,0.1845,0.47,99.0,0.35
M,0.1345,0.05,54.0,0.31,24.0,225.0
F,0.2305,75.0,0.0945,0.37,0.0465,0.28
M,129.0,0.04,0.05,295.0,0.0295,215.0
F,0.97,295.0,336.0,555.0,0.2315,435.0
F,1.14,0.42,0.4305,615.0,0.2245,515.0
I,1.3165,0.41,0.5305,0.58,254.0,0.49
F,0.9585,0.33,0.4145,585.0,0.1615,475.0
I,1626.0,0.53,597.0,0.65,0.3445,525.0
I,781.0,295.0,0.3055,535.0,0.1555,0.45
F,0.3675,0.12,146.0,415.0,0.0885,0.34
F,281.0,0.09,0.1045,0.38,0.0615,305.0
I,412.0,0.16,0.1145,0.45,0.0665,355.0
F,0.2245,0.08,78.0,395.0,54.0,295.0
M,0.4835,0.16,0.1815,455.0,144.0,0.35
F,605.0,0.18,0.2155,485.0,0.14,0.38
M,0.9175,335.0,0.2775,0.55,243.0,425.0
F,0.5425,175.0,0.1765,0.45,123.0,0.35
M,0.6175,215.0,235.0,475.0,108.0,385.0
F,655.0,205.0,0.2405,0.5,143.0,0.38
F,0.8115,0.24,0.24,0.53,169.0,0.41
M,573.0,0.17,225.0,0.49,124.0,0.39
F,0.7865,0.24,241.0,0.49,0.14,385.0
F,0.64,245.0,158.0,0.52,0.11,395.0
M,0.74,245.0,0.2635,0.54,168.0,415.0
F,0.5945,0.19,185.0,0.5,148.0,375.0
F,0.8165,265.0,0.25,0.45,0.1915,0.38
F,0.2225,0.08,93.0,0.37,26.0,275.0
I,0.2295,0.07,0.0885,0.37,0.0465,275.0
M,0.5725,175.0,204.0,485.0,0.1415,0.37
F,0.3915,0.12,154.0,435.0,94.0,325.0
M,0.8345,0.29,0.3175,535.0,0.1725,405.0
M,0.6515,185.0,0.2455,0.51,0.1665,0.4
M,909.0,255.0,344.0,565.0,0.2325,0.44
F,0.8045,0.21,0.3345,535.0,0.2125,0.4
F,927.0,345.0,0.26,535.0,0.1425,405.0
M,0.7305,195.0,279.0,525.0,0.2055,0.4
M,0.9555,295.0,366.0,0.59,0.2425,0.44
M,636.0,0.19,0.2535,0.5,145.0,375.0
I,0.0865,25.0,0.0345,255.0,0.0205,0.19
F,0.3865,0.11,0.1475,0.43,0.1065,325.0
M,283.0,85.0,0.1175,0.38,0.0655,0.29
I,19.0,5.0,0.0065,165.0,0.0025,0.11
I,0.1285,0.04,43.0,315.0,0.04,0.23
I,0.0175,5.0,5.0,155.0,0.0035,105.0
M,0.1165,0.03,0.0545,0.28,0.0285,205.0
F,444.0,0.14,155.0,0.43,0.1145,335.0
F,0.3515,0.1195,0.1185,395.0,91.0,315.0
M,0.2905,0.0875,0.1215,385.0,0.0685,285.0
F,536.0,173.0,0.1895,0.48,142.0,385.0
F,0.4525,123.0,0.18,445.0,103.0,0.33
M,316.0,0.1105,0.1205,395.0,0.0595,295.0
M,417.0,0.1175,191.0,0.4,0.09,0.3
M,417.0,144.0,0.1535,415.0,0.1015,325.0
M,203.0,0.0795,0.0615,315.0,37.0,0.25
F,207.0,0.0765,0.0775,345.0,0.0435,0.26
M,0.2765,0.1005,0.0895,0.36,57.0,295.0
I,0.1105,32.0,0.0405,295.0,0.0245,225.0
I,176.0,63.0,0.0595,325.0,0.0355,0.25
M,0.2465,83.0,104.0,375.0,0.0475,0.3
I,0.1135,0.0335,45.0,0.28,0.0275,205.0
M,201.0,0.0695,69.0,355.0,53.0,265.0
M,0.1915,63.0,0.08,0.35,0.0385,255.0
I,0.1035,0.03,0.0475,275.0,0.0205,0.2
I,0.0975,35.0,36.0,0.29,19.0,205.0
I,0.0765,0.0245,36.0,0.25,0.0115,0.19
I,0.0265,0.0085,0.0095,0.18,0.0055,125.0
I,15.0,5.0,0.0045,0.15,4.0,0.1
I,18.0,5.0,0.0065,0.16,0.0055,0.11
M,1.0575,293.0,0.3925,555.0,228.0,455.0
M,1092.0,0.4405,416.0,555.0,212.0,0.44
M,0.99,295.0,0.3865,525.0,243.0,0.41
M,488.0,155.0,191.0,465.0,125.0,0.36
F,0.5005,195.0,161.0,0.49,107.0,0.36
M,297.0,0.1,108.0,0.4,0.0705,305.0
F,525.0,155.0,0.2185,0.48,0.1195,375.0
M,0.77,255.0,0.2735,505.0,159.0,0.4
F,0.6515,165.0,261.0,0.52,0.2015,0.4
M,0.8295,275.0,0.2405,525.0,0.1825,0.4
M,879.0,0.23,374.0,545.0,0.1695,0.42
M,823.0,265.0,298.0,0.52,0.1805,0.4
M,656.0,0.22,227.0,505.0,0.1785,0.38
M,0.8665,0.29,0.2825,525.0,176.0,425.0
M,0.6565,175.0,262.0,0.51,0.1835,0.39
M,669.0,205.0,0.2385,0.52,172.0,385.0
F,0.6435,0.21,0.2415,0.52,0.1735,405.0
M,862.0,0.32,0.2855,535.0,0.1525,0.41
M,0.3795,125.0,143.0,445.0,74.0,345.0
M,835.0,245.0,0.32,0.53,0.2175,0.44
F,0.2065,0.06,78.0,0.36,57.0,265.0
F,0.7365,215.0,0.2785,535.0,186.0,0.42
F,0.8175,0.26,0.2795,0.52,183.0,405.0
M,0.8425,265.0,275.0,0.53,0.1945,415.0
F,1001.0,265.0,0.34,0.53,226.0,0.42
F,1676.0,0.45,673.0,0.66,0.4805,0.52
M,0.6595,0.16,0.2485,0.52,0.2035,385.0
M,0.8055,0.28,301.0,535.0,181.0,0.42
M,1.5165,0.39,578.0,695.0,0.4105,515.0
F,612.0,195.0,187.0,0.51,0.15,0.39
M,547.0,0.14,215.0,485.0,0.1615,355.0
F,1122.0,315.0,347.0,605.0,0.3045,0.46
F,1.1365,275.0,369.0,0.58,0.3005,455.0
M,1.4805,525.0,0.5295,0.65,272.0,515.0
M,1.5275,0.35,0.69,0.62,368.0,505.0
M,1.1375,0.37,367.0,615.0,236.0,525.0
F,1437.0,0.41,469.0,605.0,0.2655,495.0
M,1116.0,0.27,0.4775,0.57,0.2315,0.44
M,1.0615,0.31,348.0,0.57,167.0,0.43
M,1.2565,325.0,435.0,585.0,202.0,405.0
F,946.0,335.0,313.0,0.55,0.1825,0.44
F,959.0,0.3,0.2385,0.54,221.0,0.44
M,1613.0,0.47,0.6215,0.64,361.0,0.51
F,1153.0,0.32,403.0,0.61,296.0,0.47
M,978.0,0.3,0.3365,545.0,0.1905,0.45
F,1.1325,0.32,0.3825,0.59,234.0,445.0
M,197.0,0.07,0.0665,345.0,0.05,0.27
F,785.0,233.0,289.0,0.55,227.0,0.43
F,949.0,278.0,0.3485,0.53,0.2395,425.0
F,0.9805,0.2965,0.3155,0.53,0.2815,455.0
I,521.0,0.17,0.2,485.0,123.0,375.0
M,0.2685,85.0,0.0975,385.0,0.0825,275.0
M,462.0,0.12,0.1675,455.0,158.0,0.34
M,0.7605,185.0,245.0,0.49,167.0,0.38
M,732.0,0.31,189.0,0.53,0.17,0.41
M,0.6775,0.2,236.0,505.0,179.0,385.0
M,0.6385,195.0,0.2305,0.49,142.0,0.38
M,0.5755,0.19,0.2015,465.0,0.1505,0.35
F,537.0,195.0,0.1725,0.47,0.1375,0.36
M,0.93,0.3,0.3505,0.56,237.0,0.41
M,0.6415,215.0,246.0,505.0,152.0,385.0
M,0.8815,255.0,292.0,515.0,206.0,435.0
I,244.0,85.0,102.0,385.0,38.0,0.28
I,0.0525,15.0,21.0,215.0,0.0165,155.0
M,1042.0,0.2905,0.3295,0.55,0.2325,415.0
F,0.5755,0.1845,0.1975,515.0,0.13,0.39
M,709.0,262.0,211.0,495.0,0.1375,385.0
F,644.0,0.1635,0.2475,505.0,0.2025,0.39
F,0.8875,262.0,309.0,0.6,246.0,465.0
F,0.8935,263.0,0.3145,0.57,0.2575,465.0
F,556.0,0.1685,0.1925,485.0,0.1315,375.0
M,0.51,0.1625,0.1915,0.47,0.1285,0.37
M,0.9215,256.0,0.3275,575.0,225.0,0.45
M,1.0345,0.3635,315.0,0.58,0.26,465.0
M,695.0,234.0,215.0,515.0,0.1635,405.0
M,0.7155,214.0,0.2805,0.53,0.1685,0.41
M,394.0,122.0,157.0,0.44,96.0,335.0
M,745.0,0.2885,255.0,0.52,157.0,0.42
F,0.3665,117.0,125.0,425.0,81.0,345.0
M,495.0,185.0,0.1655,0.46,117.0,0.34
M,349.0,115.0,119.0,0.45,0.1055,335.0
M,0.4405,155.0,152.0,425.0,0.0935,0.33
I,0.22,65.0,94.0,0.37,45.0,275.0
M,0.6615,155.0,0.2875,515.0,0.2095,0.38
M,0.3185,95.0,0.1235,405.0,0.0905,305.0
I,0.1015,0.03,41.0,0.28,0.03,205.0
F,759.0,0.24,0.2125,0.48,179.0,0.4
F,0.4195,0.13,153.0,0.44,0.1155,0.34
F,807.0,235.0,0.2855,0.52,179.0,0.41
M,875.0,285.0,0.2665,505.0,174.0,405.0
F,0.6835,205.0,165.0,0.49,0.1315,365.0
I,67.0,18.0,27.0,235.0,0.0125,175.0
I,88.0,23.0,0.0365,255.0,21.0,185.0
I,0.1715,0.0535,71.0,315.0,0.0345,0.24
I,0.1735,49.0,0.0765,325.0,0.0345,0.25
I,183.0,0.0575,0.0735,335.0,0.04,0.25
I,0.2055,62.0,75.0,0.35,0.0575,0.27
I,0.18,54.0,0.0655,0.35,48.0,0.25
I,0.27,0.0745,0.1185,0.36,64.0,0.3
I,0.24,0.0735,108.0,365.0,0.0445,275.0
I,0.2215,0.0615,97.0,0.37,0.0455,275.0
I,0.1375,0.0605,86.0,0.38,0.0585,275.0
I,312.0,86.0,143.0,385.0,0.0635,0.29
I,0.2895,0.09,0.1215,385.0,63.0,0.3
I,319.0,82.0,138.0,395.0,0.08,0.29
I,304.0,77.0,127.0,395.0,84.0,0.29
I,306.0,94.0,0.13,0.4,0.06,0.31
I,394.0,106.0,208.0,0.41,0.0655,325.0
I,0.3735,109.0,175.0,415.0,0.0755,0.32
M,325.0,91.0,156.0,415.0,0.0505,305.0
I,398.0,0.0945,0.1185,425.0,0.0645,325.0
I,501.0,0.1465,0.2435,0.44,84.0,365.0
I,0.4895,0.1105,0.2745,445.0,86.0,335.0
I,378.0,89.0,0.1795,445.0,0.1,325.0
I,547.0,0.1405,245.0,0.45,0.1405,0.35
M,0.5805,169.0,266.0,0.47,0.0935,375.0
I,0.5465,172.0,229.0,475.0,0.1185,365.0
F,0.6395,175.0,0.2945,0.48,113.0,365.0
I,498.0,0.1525,0.2175,485.0,96.0,355.0
M,609.0,0.1775,0.3065,0.49,96.0,385.0
F,0.7555,214.0,0.3355,495.0,129.0,0.41
M,0.5975,166.0,0.27,0.5,0.1275,0.4
M,0.8275,239.0,0.3415,505.0,0.1855,0.44
M,0.7635,225.0,0.3375,525.0,0.1425,395.0
M,891.0,202.0,0.4815,0.54,0.1915,405.0
F,805.0,0.21,369.0,0.54,0.1725,0.42
F,0.9185,0.2375,429.0,545.0,0.2015,0.44
F,923.0,283.0,0.4035,0.55,175.0,0.43
M,1.0145,0.2875,407.0,0.55,0.2015,0.45
F,875.0,0.2765,362.0,0.55,0.1755,0.45
M,0.9685,0.2385,0.4985,555.0,168.0,435.0
M,1.0595,265.0,0.4735,565.0,0.24,0.45
M,952.0,0.2745,0.3895,0.57,0.2155,455.0
M,0.7535,194.0,349.0,0.57,0.1755,435.0
F,958.0,0.2705,442.0,575.0,0.1815,465.0
M,1077.0,0.3095,0.4545,0.59,244.0,475.0
M,1102.0,0.33,455.0,0.59,0.2055,0.46
F,1.11,0.33,498.0,595.0,228.0,0.48
F,1.2095,0.32,0.5225,595.0,296.0,0.48
F,1.1405,271.0,547.0,595.0,231.0,475.0
F,1113.0,305.0,0.5175,595.0,244.0,465.0
M,1.3445,0.36,549.0,0.6,0.2875,475.0
F,1.21,0.3205,653.0,0.6,0.1695,475.0
M,1.29,0.3445,606.0,0.6,276.0,495.0
F,1382.0,0.3985,609.0,605.0,0.2325,475.0
M,1.1035,325.0,421.0,605.0,0.3015,455.0
F,1377.0,292.0,0.5585,615.0,0.33,0.5
F,1.3435,345.0,629.0,615.0,0.2605,0.52
M,1296.0,0.32,545.0,615.0,0.3315,0.51
M,1.34,0.41,0.5315,615.0,0.2815,505.0
F,1.3725,0.3685,0.6285,0.62,275.0,505.0
M,1307.0,315.0,0.6355,0.62,0.2545,0.5
F,1.2085,411.0,465.0,625.0,162.0,0.49
F,1.3825,381.0,0.5895,625.0,285.0,0.49
M,1.26,406.0,0.4525,0.63,0.2755,505.0
M,1.3555,0.39,619.0,635.0,305.0,0.51
F,1376.0,0.31,0.6495,635.0,361.0,0.5
F,1.2945,0.2715,668.0,635.0,0.2605,485.0
F,1486.0,321.0,0.7595,0.64,332.0,0.51
M,1.4715,399.0,675.0,0.65,315.0,525.0
M,1.4095,405.0,586.0,655.0,291.0,0.52
M,2.0805,601.0,959.0,655.0,0.3415,0.58
M,1.3905,453.0,0.5905,0.66,212.0,0.53
M,1558.0,0.4,755.0,0.66,298.0,0.52
F,1309.0,413.0,0.5445,0.67,0.2945,585.0
F,1.8095,455.0,784.0,675.0,391.0,525.0
F,1.4785,0.42,628.0,675.0,0.3405,525.0
F,1.7775,415.0,861.0,0.68,322.0,0.56
F,1.6675,475.0,833.0,685.0,0.3775,0.54
F,1834.0,455.0,0.8455,695.0,422.0,0.56
M,2.8255,897.0,1.1465,0.73,419.0,595.0
I,46.0,0.0135,0.0165,205.0,12.0,0.14
I,0.0705,21.0,25.0,0.24,14.0,175.0
I,0.0665,17.0,31.0,0.24,0.0135,175.0
I,83.0,27.0,0.0295,255.0,0.0215,0.19
I,83.0,0.02,31.0,255.0,0.0215,0.18
I,92.0,0.0245,0.0345,265.0,25.0,195.0
I,117.0,0.0345,0.0455,0.28,29.0,0.12
I,0.1625,0.0385,65.0,295.0,0.05,0.23
I,131.0,43.0,0.05,0.3,0.0265,235.0
I,0.1385,37.0,56.0,0.3,0.0365,0.23
I,141.0,37.0,62.0,305.0,31.0,0.22
I,0.1485,0.0425,0.0585,315.0,0.0375,235.0
I,144.0,0.04,53.0,315.0,0.0305,0.23
I,0.1575,0.0425,0.07,0.32,0.0265,0.24
I,187.0,0.05,0.0825,325.0,0.0445,0.24
I,196.0,0.0445,0.0775,0.33,0.0305,265.0
I,0.1825,55.0,0.0705,335.0,44.0,0.25
I,186.0,0.0445,0.0945,335.0,38.0,0.25
I,0.1785,45.0,0.0665,0.34,0.0455,0.25
I,0.2225,55.0,104.0,0.34,0.0425,0.25
I,0.2455,65.0,111.0,345.0,0.0535,265.0
I,249.0,67.0,0.1045,0.37,58.0,0.29
I,0.2865,0.0795,0.1505,0.37,69.0,0.28
I,215.0,55.0,84.0,375.0,0.06,0.28
I,251.0,0.07,124.0,385.0,37.0,265.0
I,339.0,0.09,155.0,0.41,0.0695,0.31
I,0.3535,0.1,157.0,0.41,0.0745,305.0
I,0.3335,91.0,0.1635,0.41,61.0,0.31
I,0.3595,0.09,0.17,415.0,81.0,0.33
I,376.0,0.1,169.0,0.42,92.0,0.32
I,0.3435,0.09,157.0,0.42,0.0795,315.0
I,382.0,0.1,164.0,425.0,96.0,0.34
I,377.0,105.0,0.1645,425.0,72.0,315.0
I,0.3645,105.0,0.1575,0.43,0.0825,325.0
I,425.0,95.0,217.0,0.43,87.0,325.0
I,0.3995,0.1125,0.1815,435.0,61.0,325.0
I,0.3925,0.1145,0.1825,435.0,78.0,0.34
I,0.4495,134.0,209.0,0.44,0.0835,345.0
I,0.35,105.0,148.0,0.44,67.0,325.0
F,0.4355,0.1195,0.2025,445.0,0.1095,335.0
I,0.4195,0.1195,0.1695,445.0,0.0945,0.35
I,478.0,137.0,191.0,0.45,127.0,0.36
I,0.4445,0.1335,197.0,0.45,93.0,355.0
I,0.47,0.1135,0.2355,0.45,0.0855,345.0
I,447.0,119.0,0.2335,0.45,153.0,335.0
I,0.5325,0.1465,225.0,455.0,126.0,355.0
I,497.0,0.1295,0.2355,455.0,0.1055,375.0
I,0.4635,115.0,0.2325,0.46,93.0,0.36
I,449.0,0.1265,196.0,0.46,0.0945,345.0
I,467.0,113.0,0.2315,465.0,0.0925,365.0
I,534.0,143.0,261.0,465.0,98.0,0.37
I,0.4415,0.12,0.1755,465.0,0.0905,345.0
F,482.0,0.1095,0.23,465.0,106.0,0.35
M,612.0,0.14,327.0,0.47,0.15,365.0
F,582.0,146.0,0.29,0.47,92.0,365.0
M,537.0,0.15,222.0,475.0,0.1215,0.37
F,0.5915,127.0,0.3245,475.0,0.11,0.36
M,0.6765,0.17,0.3205,0.48,0.1065,375.0
M,0.64,0.1575,0.2925,0.48,0.1405,385.0
M,439.0,115.0,194.0,0.48,99.0,0.36
M,0.6015,0.14,312.0,0.48,117.0,365.0
F,0.4785,129.0,0.1995,485.0,0.0955,0.37
M,649.0,0.1695,0.32,0.49,124.0,385.0
M,0.6335,0.1495,0.3035,495.0,0.1295,395.0
M,0.61,144.0,272.0,495.0,0.1435,0.4
M,0.6595,0.1565,0.3145,0.5,0.1535,0.39
I,0.56,135.0,0.2835,0.5,103.0,385.0
M,0.6425,0.1535,0.3195,0.5,129.0,385.0
M,0.6725,0.1825,336.0,0.5,0.12,0.4
F,674.0,0.1785,0.3165,505.0,141.0,0.39
I,685.0,156.0,362.0,505.0,131.0,0.39
M,642.0,155.0,289.0,505.0,133.0,0.41
I,601.0,185.0,0.25,505.0,0.1205,355.0
M,769.0,0.19,0.3935,0.51,0.1455,0.39
I,0.5785,175.0,238.0,0.51,0.1225,375.0
I,769.0,0.18,0.3655,0.51,0.1585,405.0
M,0.7035,0.1885,347.0,0.51,134.0,405.0
M,796.0,0.1955,0.3865,0.51,0.1815,0.41
F,834.0,0.23,367.0,515.0,0.2,0.43
M,0.7125,155.0,0.3695,515.0,137.0,0.39
F,724.0,175.0,0.3475,525.0,173.0,415.0
M,0.7325,0.17,334.0,525.0,0.1575,0.4
F,0.7585,205.0,325.0,0.53,197.0,425.0
F,0.8495,202.0,328.0,0.53,232.0,425.0
M,0.6515,186.0,0.2715,0.53,0.1605,405.0
F,0.8215,205.0,0.3935,535.0,196.0,0.4
M,0.7165,0.2155,0.2855,535.0,0.1595,0.43
M,874.0,0.2195,0.3735,535.0,229.0,435.0
F,0.9905,218.0,544.0,0.55,178.0,445.0
F,0.8105,275.0,368.0,0.55,161.0,0.43
F,967.0,274.0,0.4525,0.56,207.0,455.0
F,0.6975,0.18,0.3075,565.0,0.1665,0.4
M,1195.0,295.0,0.5625,0.57,0.2565,0.45
M,1.1935,343.0,513.0,0.57,0.21,0.45
F,1107.0,0.27,0.54,0.57,255.0,455.0
M,1.0635,0.24,0.5265,0.57,0.2195,445.0
M,0.9035,214.0,0.4075,0.57,0.1935,0.46
M,1114.0,0.29,0.4955,575.0,0.2745,475.0
F,1103.0,249.0,538.0,575.0,221.0,0.46
F,1.1155,0.29,0.5575,0.58,0.2255,0.46
F,1.0515,276.0,0.4095,0.58,0.2595,0.46
M,1012.0,0.2835,0.4985,0.58,0.2115,455.0
F,1137.0,0.29,0.5585,0.58,0.22,0.45
M,1.1335,237.0,586.0,0.58,0.2565,0.49
M,1136.0,275.0,0.5245,0.59,0.2615,465.0
M,1206.0,309.0,479.0,0.59,0.2425,0.47
F,1063.0,0.25,0.5155,0.59,0.2445,455.0
F,1121.0,155.0,0.4515,595.0,178.0,0.47
F,1114.0,0.25,0.5865,595.0,0.2205,0.45
M,1213.0,274.0,621.0,595.0,0.2435,475.0
F,1.0045,0.2515,0.4655,595.0,0.2095,0.46
M,1044.0,0.27,518.0,595.0,0.2205,455.0
F,1.1345,295.0,0.5265,605.0,0.2645,0.49
M,1161.0,275.0,572.0,605.0,0.2455,475.0
M,1.2315,0.2925,0.6025,605.0,262.0,0.47
M,1.1625,0.3085,565.0,0.61,258.0,0.47
